age_width_years
1	0.04
2	0.04
3	0.04
4	0.04
5	0.04
6	0.04
7	0.04
8	0.04
9	0.04
10	0.04
11	0.04
12	0.04
13	0.04
14	0.04
15	0.04
16	0.04
17	0.04
18	0.04
19	0.04
20	0.04
21	0.04
22	0.04
23	0.04
24	0.04
25	0.04
26	0.05
27	0.05
28	0.05
29	0.05
30	0.05
31	0.05
32	0.05
33	0.05
34	0.05
35	0.05
36	0.05
37	0.05
38	0.05
39	0.05
40	0.05
41	0.05
42	0.05
43	0.05
44	0.05
45	0.05
46	0.066666667
47	0.066666666
48	0.066666667
49	0.066666667
50	0.066666666
51	0.066666667
52	0.066666667
53	0.066666666
54	0.066666667
55	0.066666667
56	0.066666666
57	0.066666667
58	0.066666667
59	0.066666666
60	0.066666667
61	0.1
62	0.1
63	0.1
64	0.1
65	0.1
66	0.1
67	0.1
68	0.1
69	0.1
70	0.1
71	0.125
72	0.125
73	0.125
74	0.125
75	0.125
76	0.125
77	0.125
78	0.125
79	0.2
80	0.2
81	0.2
82	0.2
83	0.2
84	0.25
85	0.25
86	0.25
87	0.25
88	0.25
89	0.25
90	0.25
91	0.25
92	0.25
93	0.25
94	0.25
95	0.25
96	0.25
97	0.25
98	0.25
99	0.25
100	0.5
101	0.5
102	0.5
103	0.5
104	0.5
105	0.5
106	0.5
107	0.5
108	0.5
109	0.5
110	0.5
111	0.5
112	0.5
113	0.5
114	0.5
115	0.5
116	0.5
117	0.5
118	0.5
119	0.5
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	2
131	2
132	2
133	2
134	2
135	2
136	2
137	2
138	2
139	2
140	2
141	2
142	2
143	2
144	2
145	2
